iter	Passed	Remaining
0	5	5835
1	10	5111
2	16	5414
3	22	5485
4	26	5243
5	31	5266
6	36	5246
7	43	5363
8	49	5445
9	54	5355
10	58	5271
11	62	5164
12	68	5229
13	74	5227
14	78	5142
15	82	5072
16	88	5106
17	93	5111
18	99	5144
19	104	5117
20	108	5058
21	114	5084
22	120	5123
23	125	5114
24	129	5067
25	134	5044
26	138	4986
27	143	4972
28	148	4985
29	153	4955
30	158	4956
31	163	4940
32	167	4907
33	172	4889
34	177	4890
35	183	4908
36	187	4889
37	193	4886
38	199	4907
39	204	4912
40	210	4923
41	216	4936
42	221	4939
43	227	4950
44	232	4939
45	238	4941
46	244	4962
47	249	4944
48	254	4945
49	260	4953
50	265	4942
51	269	4915
52	275	4923
53	280	4905
54	285	4905
55	290	4895
56	296	4901
57	301	4891
58	304	4861
59	309	4847
60	314	4848
61	320	4842
62	324	4825
63	329	4819
64	333	4795
65	338	4784
66	343	4784
67	348	4781
68	353	4772
69	360	4788
70	364	4774
71	368	4754
72	375	4764
73	380	4765
74	386	4770
75	392	4770
76	397	4765
77	402	4761
78	409	4769
79	414	4768
80	420	4770
81	426	4774
82	430	4755
83	435	4751
84	440	4746
85	445	4739
86	451	4739
87	458	4751
88	464	4754
89	470	4760
90	475	4749
91	481	4751
92	487	4756
93	493	4754
94	497	4736
95	503	4739
96	509	4741
97	514	4736
98	520	4732
99	525	4730
100	529	4715
101	535	4711
102	540	4708
103	544	4689
104	549	4684
105	555	4685
106	560	4681
107	567	4685
108	572	4680
109	577	4675
110	583	4676
111	589	4675
112	593	4662
113	600	4663
114	605	4657
115	610	4653
116	616	4655
117	622	4655
118	628	4651
119	633	4647
120	637	4631
121	641	4614
122	647	4616
123	653	4613
124	658	4608
125	664	4610
126	670	4606
127	675	4599
128	681	4602
129	687	4600
130	691	4584
131	697	4585
132	702	4581
133	706	4563
134	712	4564
135	718	4561
136	723	4558
137	729	4556
138	734	4546
139	737	4530
140	742	4522
141	748	4524
142	754	4519
143	759	4517
144	765	4516
145	771	4510
146	776	4505
147	782	4505
148	786	4489
149	791	4486
150	796	4477
151	801	4471
152	806	4466
153	812	4464
154	818	4459
155	823	4455
156	828	4449
157	833	4443
158	838	4437
159	845	4438
160	850	4432
161	854	4418
162	859	4416
163	863	4403
164	868	4397
165	872	4383
166	878	4380
167	883	4377
168	887	4365
169	893	4362
170	898	4356
171	904	4352
172	910	4350
173	915	4344
174	920	4341
175	927	4341
176	931	4329
177	937	4329
178	944	4330
179	950	4328
180	954	4319
181	960	4316
182	965	4312
183	972	4313
184	978	4309
185	982	4299
186	988	4296
187	993	4292
188	999	4288
189	1005	4286
190	1010	4281
191	1016	4277
192	1021	4271
193	1027	4267
194	1033	4265
195	1039	4263
196	1044	4257
197	1050	4255
198	1055	4250
199	1060	4240
200	1066	4238
201	1072	4237
202	1078	4232
203	1082	4223
204	1089	4224
205	1092	4211
206	1099	4210
207	1104	4207
208	1110	4201
209	1115	4195
210	1120	4191
211	1125	4183
212	1131	4181
213	1136	4175
214	1141	4166
215	1147	4165
216	1153	4160
217	1158	4154
218	1162	4145
219	1168	4141
220	1173	4135
221	1177	4126
222	1183	4123
223	1189	4119
224	1195	4117
225	1201	4113
226	1206	4108
227	1212	4105
