iter	Logloss
0	0.6593530111
1	0.6229299821
2	0.5888217987
3	0.5584501354
4	0.5307973934
5	0.5053336974
6	0.4843847917
7	0.461876023
8	0.440614748
9	0.4237688965
10	0.4064188672
11	0.3927836848
12	0.3771898999
13	0.3631262815
14	0.3508610711
15	0.3417944412
16	0.331139612
17	0.3225165546
18	0.3129095106
19	0.3055811144
20	0.2989183275
21	0.2911363414
22	0.2840039011
23	0.2773640923
24	0.2729444207
25	0.2684233405
26	0.2642137434
27	0.2593537846
28	0.2551443728
29	0.2508178661
30	0.2467275884
31	0.2433471072
32	0.2406837567
33	0.2379923392
34	0.2348736898
35	0.2320191798
36	0.2295183352
37	0.2271043179
38	0.2247540727
39	0.2226205502
40	0.2205732577
41	0.2186937155
42	0.217006467
43	0.2155113862
44	0.2141409128
45	0.2126931117
46	0.2113051653
47	0.2101761628
48	0.2090850141
49	0.2079326467
50	0.207079939
51	0.2063223153
52	0.2053364985
53	0.2046992141
54	0.2038924911
55	0.2030805375
56	0.2023914598
57	0.2016798357
58	0.2012614312
59	0.20081672
60	0.2002303234
61	0.1998130785
62	0.1995149943
63	0.1990035588
64	0.1986762513
65	0.1982218754
66	0.1977406031
67	0.1973116984
68	0.1969682165
69	0.1966417631
70	0.1963231676
71	0.1960795018
72	0.1957806934
73	0.1954769463
74	0.1951608736
75	0.1948915242
76	0.1946268669
77	0.1944230685
78	0.1941841838
79	0.1939790397
80	0.19379503
81	0.1936569199
82	0.1935472874
83	0.1933714536
84	0.1931989394
85	0.1930375526
86	0.1928761159
87	0.1927326758
88	0.1926208828
89	0.1924841231
90	0.1923904777
91	0.1922685604
92	0.1921578018
93	0.192034407
94	0.1919810952
95	0.1918783443
96	0.1918059921
97	0.1917258235
98	0.1916400467
99	0.1915508839
100	0.1915127541
101	0.191409033
102	0.1913072822
103	0.191280052
104	0.1911993841
105	0.1911421247
106	0.1910736973
107	0.1909906868
108	0.1909317256
109	0.1908863486
110	0.1908153732
111	0.1907567469
112	0.1907271188
113	0.1906668315
114	0.1906225828
115	0.1905730018
116	0.1905207178
117	0.1904739287
118	0.1904222645
119	0.1903696054
120	0.1903443811
121	0.1903322838
122	0.1902904004
123	0.1902644746
124	0.1902024017
125	0.1901404048
126	0.1900890401
127	0.1900489093
128	0.1899931648
129	0.1899560077
130	0.1899485444
131	0.1899215625
132	0.1898760393
133	0.1898723002
134	0.189831634
135	0.1898003124
136	0.1897576641
137	0.1897341487
138	0.1897120037
139	0.1897085919
140	0.1896852626
141	0.1896624547
142	0.1896252997
143	0.1896075546
144	0.1895794462
145	0.1895621865
146	0.1895459867
147	0.189523896
148	0.1895213332
149	0.1894967144
150	0.1894857517
151	0.1894682283
152	0.1894476159
153	0.189416285
154	0.1893831868
155	0.1893559641
156	0.1893381364
157	0.1893048923
158	0.1892924934
159	0.1892713563
160	0.1892512225
161	0.1892509134
162	0.1892304138
163	0.189227057
164	0.1892064111
165	0.1892060625
166	0.1891763163
167	0.1891539353
168	0.1891517182
169	0.1891254994
170	0.1890989178
171	0.1890882713
172	0.1890560349
173	0.1890396408
174	0.189015705
