iter	MultiClass
0	1.068834949
1	0.928626597
2	0.8555745047
3	0.8113660419
4	0.7808774315
5	0.7682727117
6	0.748396767
7	0.7413913284
8	0.7318640253
9	0.7259708254
10	0.7193271049
11	0.7136960532
12	0.707404081
13	0.70220387
14	0.7000992293
15	0.6976166297
16	0.6959054345
17	0.6939242956
18	0.6914892804
19	0.6881854369
20	0.6841122656
21	0.6809061848
22	0.6790898735
23	0.6761358472
24	0.6743693824
25	0.6728505432
26	0.6713474619
27	0.6697288303
28	0.6677964212
29	0.6635147132
30	0.6619666594
31	0.6591586902
32	0.6576817026
33	0.6548888869
34	0.6532414019
35	0.6516878295
36	0.6473844657
37	0.6457044246
38	0.6428717934
39	0.6412062709
40	0.639267223
41	0.6384717237
42	0.6371288486
43	0.6350092402
44	0.6333627814
45	0.6326086154
46	0.6312094813
47	0.6284919408
48	0.6263375781
49	0.6234862208
50	0.6224787873
51	0.6217587126
52	0.6207907393
53	0.6190425079
54	0.6176863994
55	0.6160878947
56	0.6149149591
57	0.6144319125
58	0.6130865107
59	0.6115230748
60	0.6096494192
61	0.6084343677
62	0.6070052743
63	0.6054821064
64	0.6046635148
65	0.6041723225
66	0.6023068014
67	0.6014754096
68	0.600264207
69	0.5965818923
70	0.5937613098
71	0.5930405451
72	0.5905036991
73	0.5899767264
74	0.5890628413
75	0.5875278621
76	0.5863248097
77	0.5860200689
78	0.5846211379
79	0.5839051606
80	0.5826373048
81	0.581886618
82	0.5811478184
83	0.5802424285
84	0.5793427754
85	0.5785929215
86	0.5780626524
87	0.577456035
88	0.5768909199
89	0.5746991741
90	0.5735512503
91	0.571865943
92	0.5713563365
93	0.570888908
94	0.5694282555
95	0.5684246425
96	0.5680304611
97	0.5662395385
98	0.5649718102
99	0.5645919669
100	0.5640396827
101	0.5631043096
102	0.5621632504
103	0.561194264
104	0.5600365046
105	0.5587357743
106	0.5565207175
107	0.5546041016
108	0.553566414
109	0.5525879356
110	0.5516402205
111	0.5506010485
112	0.5499025247
113	0.5488338309
114	0.5484474818
115	0.5480700881
116	0.5475950272
117	0.5472203802
118	0.546494459
119	0.545663934
120	0.5452692289
121	0.5446755813
122	0.544080272
123	0.5435932341
124	0.5431831314
125	0.5428622012
126	0.5423031837
127	0.5409171543
128	0.5406528579
129	0.5392959672
130	0.5385872886
131	0.5378333472
132	0.5371844202
133	0.5369925939
134	0.536700665
135	0.5360747749
136	0.5352841337
137	0.5346935331
138	0.5341458335
139	0.5337811484
140	0.5332784241
141	0.5329618004
142	0.5319278871
143	0.5313323366
144	0.5304694018
145	0.5293864068
146	0.528784121
147	0.5283993854
148	0.5275548285
149	0.5270048323
150	0.5260479696
151	0.5255575927
152	0.5252309794
153	0.524594013
154	0.5241316487
155	0.5230754305
156	0.5226397602
157	0.5220489091
158	0.5215391751
159	0.5211719228
160	0.5207629039
161	0.5203326728
162	0.5199403802
163	0.5189395103
164	0.5185489955
165	0.5176782136
166	0.517303548
167	0.5168587362
168	0.5164575544
169	0.5162303468
170	0.5158631857
171	0.5147130642
172	0.5142748925
173	0.5131346246
174	0.5125877644
175	0.5121186159
176	0.5112316826
177	0.5107598389
178	0.5099428832
179	0.5097140759
180	0.5095698239
181	0.509179078
182	0.508145407
183	0.5077439653
184	0.5075959758
185	0.506737044
186	0.5059618006
187	0.5048188005
188	0.5036070211
189	0.5032787493
190	0.5025284438
191	0.5017249416
192	0.5014242745
193	0.5004619627
194	0.5002892794
195	0.4997392881
196	0.4991209328
197	0.498372737
198	0.4982131922
199	0.4974445761
200	0.4966321158
201	0.4962931634
202	0.4959197888
203	0.4955169798
204	0.4946243759
205	0.4942672072
206	0.4939317992
207	0.4935069038
208	0.4932256433
209	0.4927002419
210	0.4924305839
211	0.4920561694
212	0.4916664713
213	0.491303638
214	0.4908246951
215	0.4902147373
216	0.4899738446
217	0.4896337893
218	0.4893802944
219	0.4888370961
220	0.4885047077
221	0.4880805632
222	0.4876178851
223	0.4872403134
224	0.4868691125
225	0.4865643031
226	0.4855679119
227	0.4849012158
228	0.4845191525
229	0.4842259925
230	0.4839464148
231	0.4835812599
232	0.4832680165
233	0.4828311756
234	0.4823121409
235	0.4820874411
236	0.4815925377
237	0.4810105741
238	0.480611195
239	0.4800509843
240	0.4789679309
241	0.4787440505
242	0.4782520049
243	0.4777388029
244	0.4774647993
245	0.4767207196
246	0.4762543499
247	0.4754052905
248	0.474876425
249	0.4740558635
