iter	MultiClass
0	1.818756233
1	1.71620136
2	1.631624183
3	1.564725882
4	1.509440918
5	1.462235295
6	1.419628551
7	1.383116526
8	1.34848845
9	1.31861298
10	1.293082111
11	1.270539649
12	1.249731272
13	1.230110272
14	1.213093115
15	1.198409142
16	1.182981503
17	1.169499145
18	1.156114354
19	1.143621738
20	1.133962352
21	1.122866376
22	1.114033786
23	1.104738454
24	1.096967659
25	1.088964847
26	1.083361807
27	1.076046125
28	1.069368157
29	1.063946693
30	1.058126454
31	1.053065108
32	1.047905886
33	1.044011631
34	1.040371376
35	1.036752421
36	1.033848622
37	1.029443636
38	1.026558966
39	1.023043646
40	1.019415395
41	1.016542388
42	1.014122665
43	1.011028717
44	1.007550214
45	1.005530639
46	1.001649407
47	0.9982713066
48	0.9962467847
49	0.9945994784
50	0.9916291097
51	0.9885808069
52	0.9854553819
53	0.9826435483
54	0.9810335456
55	0.9776276212
56	0.9751695944
57	0.9736826983
58	0.9715562268
59	0.9698653801
60	0.9674706588
61	0.9654713262
62	0.9634065907
63	0.9616164615
64	0.9607758026
65	0.9588164926
66	0.9581611647
67	0.9563162676
68	0.9557210216
69	0.9539838954
70	0.9523255034
71	0.9503224588
72	0.9489123164
73	0.9478146023
74	0.9454946592
75	0.9438623236
76	0.9421593901
77	0.9412492078
78	0.9391534584
79	0.9382236333
80	0.9373352399
81	0.9363322037
82	0.9352346968
83	0.9336067701
84	0.9327040236
85	0.9318277293
86	0.9307907417
87	0.9293071029
88	0.9284656644
89	0.925374281
90	0.9234654813
91	0.9222919004
92	0.9207069189
93	0.9202772688
94	0.9192701244
95	0.9183134901
96	0.916654667
97	0.9150703531
98	0.9134222146
99	0.9127637956
100	0.9104917922
101	0.9096950079
102	0.908660321
103	0.9068161349
104	0.9055093153
105	0.9044032367
106	0.9035658843
107	0.9020022229
108	0.9011281721
109	0.8998511347
110	0.8985497467
111	0.8968612109
112	0.8959170352
113	0.8949387039
114	0.8935713702
115	0.8925337049
116	0.8915146852
117	0.8904210817
118	0.8895140571
119	0.8875336428
120	0.8865973645
121	0.8859628071
122	0.8840607345
