iter	Passed	Remaining
0	17	17662
1	30	15065
2	41	13668
3	54	13529
4	68	13540
5	80	13405
6	92	13156
7	104	12968
8	117	12986
9	131	13067
10	144	12978
11	157	12956
12	170	12928
13	183	12915
14	195	12830
15	207	12772
16	221	12803
17	235	12832
18	248	12834
19	261	12804
20	273	12738
21	286	12717
22	298	12675
23	310	12636
24	324	12669
25	337	12632
26	346	12489
27	358	12452
28	370	12400
29	383	12398
30	396	12400
31	409	12376
32	421	12340
33	435	12367
34	450	12413
35	465	12465
36	481	12524
37	497	12602
38	513	12663
39	528	12691
40	542	12677
41	558	12738
42	571	12713
43	583	12679
44	596	12660
45	609	12647
46	622	12628
47	635	12598
48	649	12606
49	662	12594
50	676	12588
51	689	12573
52	702	12557
53	715	12531
54	729	12533
55	742	12511
56	756	12520
57	769	12502
58	781	12467
59	794	12446
60	807	12433
61	821	12423
62	835	12419
63	848	12405
64	862	12410
65	875	12389
66	880	12264
67	892	12234
68	905	12211
69	918	12204
70	931	12189
71	944	12172
72	965	12262
73	980	12271
74	995	12279
75	1012	12307
76	1027	12312
77	1042	12317
78	1057	12327
79	1071	12323
80	1086	12325
81	1101	12327
82	1117	12343
83	1132	12352
84	1146	12338
85	1160	12335
86	1172	12303
87	1185	12284
88	1198	12262
89	1212	12257
90	1226	12251
91	1238	12222
92	1251	12205
93	1264	12190
94	1279	12186
95	1292	12168
96	1304	12140
97	1317	12124
98	1330	12111
99	1344	12102
100	1358	12089
101	1371	12074
102	1383	12048
103	1397	12035
104	1410	12023
105	1423	12006
106	1435	11979
107	1448	11964
108	1460	11938
109	1475	11934
110	1486	11908
111	1498	11881
112	1513	11876
113	1526	11864
114	1538	11838
115	1550	11817
116	1563	11802
117	1575	11778
118	1590	11772
119	1602	11752
120	1614	11729
121	1628	11718
122	1641	11706
123	1654	11685
124	1666	11662
125	1679	11649
126	1692	11635
127	1705	11618
128	1717	11595
129	1729	11575
130	1742	11560
131	1755	11540
132	1767	11520
133	1778	11497
134	1791	11480
135	1806	11476
136	1819	11460
137	1831	11438
138	1843	11420
139	1856	11402
140	1867	11379
141	1879	11356
142	1893	11349
143	1907	11340
144	1921	11333
145	1936	11327
146	1950	11317
147	1965	11314
148	1981	11315
149	2000	11337
150	2017	11345
151	2034	11349
152	2049	11347
153	2065	11348
154	2079	11337
155	2094	11331
156	2109	11326
157	2125	11326
158	2138	11310
159	2153	11306
160	2167	11293
161	2181	11283
162	2194	11268
163	2208	11259
164	2221	11242
165	2235	11229
166	2249	11222
167	2263	11207
168	2275	11188
169	2288	11171
170	2301	11155
171	2314	11142
172	2329	11137
173	2343	11126
174	2355	11105
175	2367	11083
176	2381	11074
177	2394	11059
178	2407	11042
179	2423	11041
180	2435	11021
181	2449	11009
182	2463	10996
183	2477	10987
184	2490	10972
185	2502	10953
186	2516	10941
187	2528	10922
188	2544	10920
189	2558	10905
190	2570	10888
191	2584	10878
192	2598	10866
193	2614	10861
194	2628	10850
195	2645	10850
196	2657	10831
197	2672	10826
198	2686	10815
199	2700	10800
200	2728	10845
201	2741	10831
202	2757	10825
203	2771	10812
204	2783	10793
205	2798	10785
206	2812	10773
207	2826	10761
208	2838	10743
209	2853	10733
210	2865	10715
211	2879	10702
212	2893	10689
213	2907	10678
214	2919	10660
215	2932	10642
216	2946	10633
217	2961	10624
218	2975	10612
219	2990	10603
220	3004	10590
221	3016	10572
222	3028	10553
223	3042	10539
224	3054	10521
225	3069	10512
226	3082	10497
227	3093	10475
228	3108	10465
229	3122	10452
230	3134	10434
231	3146	10416
232	3159	10399
233	3171	10383
234	3187	10376
235	3200	10362
236	3212	10343
237	3224	10323
238	3237	10307
239	3250	10293
